ID;Species;Initial;Treatment;Deployment;Retrieval;Final;Dry
1628;Laminaria digitata;5.655;;15.11.2024;;;
;;;;;;;
1629;Laminaria digitata;4.969;prekilled;15.11.2024;;;
;;;;;;;
1630;Laminaria digitata;6.273;;15.11.2024;;;
;;;;;;;
1631;Laminaria digitata;7.844;;15.11.2024;;;
;;;;;;;
1632;Laminaria digitata;7.450;prekilled;15.11.2024;;;
;;;;;;;
1633;Laminaria digitata;6.507;;15.11.2024;18.11.2024;6.300;
;;;;;;;
1634;Laminaria digitata;8.670;;15.11.2024;;;
;;;;;;;
1635;Laminaria digitata;5.435;;15.11.2024;;;
;;;;;;;
1636;Laminaria digitata;5.896;prekilled;15.11.2024;;;
;;;;;;;
1637;Laminaria digitata;6.073;;15.11.2024;;;
;;;;;;;
1638;Laminaria digitata;7.939;prekilled;15.11.2024;;;
;;;;;;;
1639;Laminaria digitata;5.447;prekilled;15.11.2024;;;
;;;;;;;
1640;Laminaria digitata;7.688;prekilled;15.11.2024;;;
;;;;;;;
1641;Laminaria digitata;6.479;;15.11.2024;;;
;;;;;;;
1642;Laminaria digitata;8.583;;15.11.2024;;;
;;;;;;;
1643;Laminaria digitata;7.748;prekilled;15.11.2024;;;
;;;;;;;
1644;Laminaria digitata;6.307;prekilled;15.11.2024;;;
;;;;;;;
1645;Laminaria digitata;6.163;;15.11.2024;;;
;;;;;;;
1646;Laminaria digitata;7.512;prekilled;15.11.2024;;;
;;;;;;;
1647;Laminaria digitata;7.536;prekilled;15.11.2024;;;
;;;;;;;
1648;Laminaria digitata;6.322;;15.11.2024;;;
;;;;;;;
1649;Laminaria digitata;7.542;;15.11.2024;;;
;;;;;;;
1650;Laminaria digitata;6.523;;15.11.2024;;;
;;;;;;;
1651;Laminaria digitata;7.827;;15.11.2024;;;
;;;;;;;
1652;Laminaria digitata;6.499;prekilled;15.11.2024;;;
;;;;;;;
1653;Laminaria digitata;7.894;prekilled;15.11.2024;;;
;;;;;;;
1654;Laminaria digitata;6.053;prekilled;15.11.2024;;;
;;;;;;;
1655;Laminaria digitata;7.940;;15.11.2024;;;
;;;;;;;
1656;Laminaria digitata;7.511;prekilled;15.11.2024;;;
;;;;;;;
1657;Laminaria digitata;8.954;prekilled;15.11.2024;;;
;;;;;;;
1658;Laminaria digitata;9.995;prekilled;15.11.2024;;;
;;;;;;;
1659;Laminaria digitata;5.552;prekilled;15.11.2024;;;
;;;;;;;
1660;Laminaria digitata;7.489;prekilled;15.11.2024;;;
;;;;;;;
1661;Laminaria digitata;6.874;;15.11.2024;;;
;;;;;;;
1662;Laminaria digitata;7.263;;15.11.2024;22.11.2024;7.525;
;;;;;;;
1663;Laminaria digitata;7.694;prekilled;15.11.2024;;;
;;;;;;;
1664;Laminaria digitata;5.688;;15.11.2024;;;
;;;;;;;
1665;Laminaria digitata;6.721;prekilled;15.11.2024;;;
;;;;;;;
1666;Laminaria digitata;4.930;;15.11.2024;;;
;;;;;;;
1667;Laminaria digitata;9.051;prekilled;15.11.2024;;;
;;;;;;;
1668;Laminaria digitata;6.395;prekilled;15.11.2024;22.11.2024;5.081;
;;;;;;;
1669;Laminaria digitata;5.151;prekilled;15.11.2024;;;
;;;;;;;
1670;Laminaria digitata;9.056;;15.11.2024;;;
;;;;;;;
1671;Laminaria digitata;6.886;;15.11.2024;;;
;;;;;;;
1672;Laminaria digitata;7.173;;15.11.2024;;;
;;;;;;;
1673;Laminaria digitata;9.078;;15.11.2024;;;
;;;;;;;
1674;Laminaria digitata;7.655;prekilled;15.11.2024;;;
;;;;;;;
1675;Laminaria digitata;9.260;;15.11.2024;;;
;;;;;;;
1676;Laminaria digitata;7.096;prekilled;15.11.2024;;;
;;;;;;;
