Date,Salinity
05.02.25,35.2
07.02.25,35.2
13.02.25,35.6
20.02.25,35.4
24.02.25,35.2
03.03.25,35.2
06.03.25,35.6
10.03.25,35.2
13.03.25,35.2
17.03.25,35.1
20.03.25,35.2
24.03.25,35.2
27.03.25,35.2
31.03.25,35.2
03.04.25,35.2
07.04.25,35.1
10.04.25,35.2
14.04.25,35.1
17.04.25,35.2
