Condition,k,alpha,mu,tau
Live,13 ± 108 (2),-2.6 ± 5.3,139 ± 258 (74),8 ± 4.7
Dead,24 ± 33 (17),-9.8 ± 6.4,93 ± 58 (82),14 ± 6.1
