Condition,k,sigma,alpha,mu,tau,epsilon,lambda,theta
Live,13 ± 108 (2),0.26 ± 0.0044,-2.6 ± 5.3,139 ± 258 (74),8 ± 4.7,355 ± 82,0.35 ± 0.026,3.3 ± 0.24
Dead,24 ± 33 (17),0.13 ± 0.0093,-9.8 ± 6.4,93 ± 58 (82),14 ± 6.1,29745 ± 17260,7 ± 1.2,2.4 ± 0.99
