Species,Live,Dead,difference,log_ratio,log_ratio_sym,P
Laminaria digitata,1673 (514–11205),9 (7.6–11),1664 (505–11197),2.3 (1.7–3.1),2.3 ± 0.42,1
Ecklonia radiata,40 (31–52),6.5 (5.2–8),33 (24–46),0.79 (0.64–0.94),0.79 ± 0.092,1
Amphibolis griffithii,71 (62–81),46 (40–54),25 (13–37),0.19 (0.097–0.27),0.19 ± 0.054,1
