Experiment,Species,Condition,k,t0.5,alpha,mu,tau
166,Ecklonia radiata,Live,1.1 (0.073 ± 0.19),64 (4.2 ± 0.19),-1.4 ± 0.57,106 (4.8 ± 0.82),5.5 (1.7 ± 0.34)
167,Ecklonia radiata,Live,3 (1.1 ± 0.18),23 (3.1 ± 0.18),-3.9 ± 0.46,226 (5.4 ± 0.88),8 (2.1 ± 0.25)
168,Ecklonia radiata,Live,4.5 (1.5 ± 0.15),15 (2.7 ± 0.15),-4.9 ± 1.5,21 (3.6 ± 1.3),8.9 (2.2 ± 0.16)
169,Ecklonia radiata,Live,5.9 (1.8 ± 0.18),12 (2.5 ± 0.18),-8.4 ± 0.66,139 (5 ± 0.89),13 (2.5 ± 0.15)
170,Laminaria digitata,Live,0.14 (-2.1 ± 0.82),480 (6.3 ± 0.82),0.91 ± 0.5,88 (4.6 ± 0.77),4.5 (1.5 ± 0.36)
171,Laminaria hyperborea,Live,0.22 (-1.6 ± 0.77),313 (5.9 ± 0.77),0.52 ± 0.37,188 (5.3 ± 0.93),3.7 (1.3 ± 0.41)
172,Saccharina latissima,Live,0.84 (-0.21 ± 0.35),82 (4.5 ± 0.35),-1.7 ± 1.2,28 (3.6 ± 0.93),6.3 (1.8 ± 0.24)
173,Saccorhiza polyschides,Live,1.9 (0.62 ± 0.2),37 (3.6 ± 0.2),-4.9 ± 1.4,59 (4.2 ± 1.3),8.7 (2.2 ± 0.21)
174,Laminaria digitata,Live,0.21 (-1.7 ± 0.9),326 (5.9 ± 0.9),0.87 ± 0.68,83 (4.5 ± 0.82),4.5 (1.5 ± 0.37)
175,Laminaria hyperborea,Live,0.73 (-0.45 ± 0.7),95 (4.7 ± 0.7),0.029 ± 0.64,183 (5.2 ± 0.99),4.2 (1.4 ± 0.39)
176,Saccharina latissima,Live,1 (-0.098 ± 0.69),68 (4.3 ± 0.69),-0.45 ± 0.91,88 (4.5 ± 0.9),5.2 (1.6 ± 0.35)
177,Saccorhiza polyschides,Live,5.4 (1.9 ± 0.76),13 (2.4 ± 0.76),-6.4 ± 1.7,93 (4.4 ± 1.3),10 (2.3 ± 0.23)
178,Laminaria digitata,Live,0.38 (-1 ± 0.38),183 (5.2 ± 0.38),0.72 ± 0.53,121 (4.7 ± 0.35),4.7 (1.5 ± 0.35)
179,Laminaria hyperborea,Live,0.11 (-2.3 ± 0.68),637 (6.6 ± 0.68),0.35 ± 0.3,288 (5.8 ± 0.68),3.9 (1.3 ± 0.43)
180,Saccharina latissima,Live,0.25 (-1.5 ± 0.92),278 (5.7 ± 0.92),0.46 ± 0.84,101 (4.7 ± 0.81),4.3 (1.4 ± 0.4)
181,Saccorhiza polyschides,Live,4.2 (1.5 ± 0.4),17 (2.8 ± 0.4),-3.1 ± 1.2,364 (5.5 ± 1.6),7 (1.9 ± 0.32)
182,Ecklonia radiata,Live,1.7 (0.55 ± 0.17),40 (3.7 ± 0.17),-4.1 ± 0.51,152 (5.1 ± 0.88),8.2 (2.1 ± 0.23)
184,Laminaria digitata,Live,0.056 (-3 ± 0.8),1236 (7.2 ± 0.8),0.96 ± 0.31,113 (4.8 ± 0.67),4.5 (1.5 ± 0.36)
14,Nereocystis luetkeana,Dead,21 (3.1 ± 0.36),3.3 (1.2 ± 0.36),-12 ± 4.1,81 (4.4 ± 0.55),15 (2.7 ± 0.28)
15,Nereocystis luetkeana,Dead,39 (3.7 ± 0.23),1.8 (0.58 ± 0.23),-16 ± 7.8,81 (4.4 ± 0.55),18 (2.9 ± 0.38)
16,Saccharina latissima,Dead,28 (3.4 ± 0.27),2.5 (0.89 ± 0.27),-12 ± 4.1,81 (4.4 ± 0.55),14 (2.7 ± 0.29)
25,Laminaria digitata,Dead,9 (2.3 ± 0.44),7.7 (2 ± 0.44),-6.6 ± 1.8,88 (4.5 ± 0.51),10 (2.3 ± 0.22)
26,Laminaria digitata,Dead,18 (3 ± 0.48),3.8 (1.3 ± 0.48),-8.5 ± 2.5,88 (4.5 ± 0.53),12 (2.5 ± 0.23)
37,Ecklonia radiata,Dead,25 (3.2 ± 0.18),2.7 (1 ± 0.18),-8.4 ± 0.97,95 (4.6 ± 0.46),12 (2.5 ± 0.16)
183,Ecklonia radiata,Dead,11 (2.4 ± 0.15),6.1 (1.8 ± 0.15),-8.4 ± 0.89,99 (4.6 ± 0.45),12 (2.5 ± 0.17)
185,Laminaria digitata,Dead,7.8 (2.1 ± 0.075),8.9 (2.2 ± 0.075),-7.5 ± 0.82,93 (4.5 ± 0.51),11 (2.4 ± 0.16)
