Experiment,Species,Condition,k,t0.5,alpha,mu,tau
38,Macrocystis pyrifera,Live,0.13 (-2.2 ± 0.89),551 (6.4 ± 0.89),3.1 ± 1.1,63 (4.2 ± 0.86),7.4 (2 ± 0.3)
39,Macrocystis pyrifera,Live,0.11 (-2.2 ± 0.87),605 (6.5 ± 0.87),3.2 ± 1.1,63 (4.2 ± 0.85),7.3 (2 ± 0.31)
40,Macrocystis pyrifera,Live,0.086 (-2.5 ± 0.84),807 (6.8 ± 0.84),4.2 ± 1,65 (4.3 ± 0.83),6.4 (1.8 ± 0.34)
41,Macrocystis pyrifera,Live,0.073 (-2.7 ± 0.82),948 (6.9 ± 0.82),4.6 ± 1,66 (4.3 ± 0.83),6 (1.8 ± 0.35)
42,Macrocystis pyrifera,Live,0.14 (-2.1 ± 0.9),510 (6.3 ± 0.9),2.9 ± 1.1,63 (4.2 ± 0.85),7.6 (2 ± 0.3)
43,Macrocystis pyrifera,Live,0.13 (-2.1 ± 0.89),517 (6.3 ± 0.89),2.9 ± 1.1,63 (4.2 ± 0.86),7.6 (2 ± 0.3)
44,Macrocystis pyrifera,Live,0.76 (-0.45 ± 0.93),91 (4.7 ± 0.93),0.47 ± 1.3,58 (4.1 ± 0.91),10 (2.3 ± 0.24)
45,Macrocystis pyrifera,Live,0.2 (-1.7 ± 0.94),342 (5.9 ± 0.94),2.1 ± 1.1,61 (4.2 ± 0.88),8.3 (2.1 ± 0.28)
46,Macrocystis pyrifera,Live,0.076 (-2.7 ± 0.82),910 (6.9 ± 0.82),4.6 ± 1,66 (4.3 ± 0.83),6.1 (1.8 ± 0.35)
47,Macrocystis pyrifera,Live,0.14 (-2 ± 0.89),481 (6.3 ± 0.89),2.8 ± 1.1,63 (4.2 ± 0.86),7.7 (2 ± 0.3)
48,Macrocystis pyrifera,Live,0.092 (-2.5 ± 0.85),756 (6.7 ± 0.85),4 ± 1,65 (4.3 ± 0.84),6.6 (1.9 ± 0.33)
49,Macrocystis pyrifera,Live,0.13 (-2.1 ± 0.88),541 (6.4 ± 0.88),3.1 ± 1.1,63 (4.2 ± 0.85),7.4 (2 ± 0.3)
50,Laminaria hyperborea,Live,1.1 (0.049 ± 0.15),66 (4.2 ± 0.15),-0.46 ± 0.34,287 (5.7 ± 0.8),4.7 (1.5 ± 0.38)
51,Laminaria hyperborea,Live,3 (1.2 ± 0.54),23 (3.1 ± 0.54),-1.5 ± 0.72,219 (5.4 ± 1),5.7 (1.7 ± 0.32)
52,Laminaria hyperborea,Live,0.086 (-2.6 ± 0.78),802 (6.8 ± 0.78),0.58 ± 0.3,187 (5.4 ± 0.81),3.7 (1.2 ± 0.43)
53,Laminaria hyperborea,Live,0.81 (-0.22 ± 0.26),85 (4.5 ± 0.26),-2 ± 1.4,137 (4.4 ± 1.6),6.1 (1.8 ± 0.3)
54,Laminaria hyperborea,Live,4.9 (1.6 ± 0.17),14 (2.7 ± 0.17),-8.9 ± 0.69,296 (5.7 ± 0.84),13 (2.6 ± 0.11)
55,Laminaria ochroleuca,Live,0.69 (-0.38 ± 0.23),100 (4.6 ± 0.23),1.1 ± 0.55,40 (3.7 ± 0.19),5.8 (1.7 ± 0.15)
56,Laminaria ochroleuca,Live,0.17 (-1.9 ± 0.64),401 (6.1 ± 0.64),1.1 ± 0.54,55 (4 ± 0.25),5.6 (1.7 ± 0.22)
57,Laminaria ochroleuca,Live,1.6 (0.5 ± 0.17),42 (3.7 ± 0.17),0.54 ± 0.98,9.9 (2.3 ± 0.33),6.1 (1.8 ± 0.11)
58,Laminaria hyperborea,Live,0.38 (-1.1 ± 0.72),183 (5.4 ± 0.72),0.37 ± 0.45,187 (5.3 ± 0.95),3.9 (1.3 ± 0.4)
59,Laminaria hyperborea,Live,12 (2.6 ± 0.48),5.9 (1.7 ± 0.48),-11 ± 1.5,145 (4.7 ± 1.4),15 (2.7 ± 0.11)
60,Saccharina latissima,Live,5 (1.6 ± 0.22),14 (2.6 ± 0.22),-7 ± 1.6,118 (4.5 ± 1.3),12 (2.5 ± 0.17)
61,Saccharina latissima,Live,6.8 (2 ± 0.61),10 (2.2 ± 0.61),-5.3 ± 1.8,34 (3.7 ± 1.1),9.9 (2.3 ± 0.18)
62,Saccharina latissima,Live,4.5 (1.6 ± 0.59),16 (2.6 ± 0.59),-3 ± 1.6,54 (4 ± 1.1),7.6 (2 ± 0.25)
63,Saccharina latissima,Live,2.3 (0.85 ± 0.15),30 (3.4 ± 0.15),-3.7 ± 1.5,33 (3.6 ± 0.9),8.3 (2.1 ± 0.18)
64,Saccharina latissima,Live,0.24 (-1.5 ± 0.83),286 (5.8 ± 0.83),0.5 ± 0.63,105 (4.7 ± 0.78),4.3 (1.4 ± 0.39)
65,Saccharina latissima,Live,0.26 (-1.5 ± 0.63),268 (5.7 ± 0.63),0.47 ± 0.51,114 (4.8 ± 0.71),4.3 (1.4 ± 0.4)
