Species,Live,Dead,difference,log_ratio,log_ratio_sym,P
Laminaria digitata,0.041 (0.0062–0.13),7.7 (6.5–9.1),7.6 (6.5–9),2.3 (1.7–3.1),2.3 ± 0.42,1
Ecklonia radiata,1.7 (1.3–2.3),11 (8.7–13),8.9 (6.8–12),0.79 (0.64–0.94),0.79 ± 0.092,1
Amphibolis griffithii,0.98 (0.85–1.1),1.5 (1.3–1.7),0.52 (0.27–0.79),0.19 (0.097–0.27),0.19 ± 0.054,1
