Species,Live,Dead,difference,log_ratio,log_ratio_sym,P
Laminaria digitata,0.041 (0.0062–0.13),7.7 (6.5–9.1),7.6 (6.5–9),2.3 (1.7–3.1),2.3 ± 0.42,1
Ecklonia radiata,1.3 (0.93–1.9),6.4 (5–8.4),5 (3.5–7.1),0.68 (0.5–0.88),0.68 ± 0.12,1
Amphibolis griffithii,0.042 (0.0068–0.13),0.11 (0.027–0.23),0.065 (-0.042–0.19),0.42 (-0.31–1.2),0.43 ± 0.48,0.84
