marineEco,marineRealm,marineProv,EcoNumber,area not corrected,floatingandsinking.area,sinkingonly.area,floatingonly.area,total area.corrected.P.rock,exportF,exportFSD,exportS,exportSSD,exportFS,exportSF.SD,gCF,gCF.SD,gCS,gCS.SD,gCSF,N,NPP,NPP.SD,CRT,CRT.SD,export,exportcombinedSD,gCperm2,gC,NPP TgC,Exported NPP,TgC,,median seq 200 m y,median seq 530m y,Seq fraction 200m 25y,Seq fraction 200m 100y,Seq fraction 500m 25y,Seq fraction 530m 100y,Seq fraction 1000m 100y,TgC 200m 100y,TgC 530m 100y,TgC 1000m 100y,TgC 200m 25y,TgC 500m 25y,,,,,,,,,,,,,,,,,
Western India,Western Indo-Pacific,West and South Indian Shelf,103,46910,0,0,21431,21431,19.39,8.51,19.55,10.63,19.47,13.62,37.90,26.20,37.80,25.54,37.85,21443,191.83,98.40,170.30,130.68,19.39,8.51,37.90,8.12133E+11,4.11,19.8,0.81213,,213.5,221.7,0.71,0.48,1.00,0.87,0.98,0.3914,0.7067,0.7922,0.5738,0.8101,,,,,,,,,,,,,,,,,
South India and Sri Lanka,Western Indo-Pacific,West and South Indian Shelf,104,37263,12501,0,4522,17023,29.96,7.51,34.54,16.15,32.25,17.81,61.82,58.38,49.21,33.86,55.51,9410,164.05,90.58,54.55,55.18,29.96,7.51,61.82,9.73527E+11,2.79,34.9,0.97353,,75.0,221.7,0.38,0.11,0.97,0.57,0.88,0.1095,0.5515,0.8582,0.3719,0.9433,,,,,,,,,,,,,,,,,
Maldives,Western Indo-Pacific,Central Indian Ocean Islands,105,1435,0,605,51,656,37.63,0.00,66.19,7.95,51.91,7.95,136.03,28.44,75.94,14.51,105.99,15272,223.48,45.21,1.68,1.77,63.98,7.64,80.59,52842839931,0.15,36.1,0.05284,,98.1,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Chagos,Western Indo-Pacific,Central Indian Ocean Islands,106,5532,0,0,2527,2527,37.63,0.00,57.63,9.02,47.63,9.02,183.67,81.61,126.05,52.10,154.86,7390,366.65,162.25,8.37,7.08,37.63,0.00,183.67,4.64195E+11,0.93,50.1,0.46420,,63.5,205.1,0.30,0.08,0.80,0.38,0.84,0.0394,0.1769,0.3902,0.1369,0.3727,,,,,,,,,,,,,,,,,
Eastern India,Western Indo-Pacific,Bay of Bengal,107,18108,256,0,8016,8272,34.76,4.11,38.25,8.13,36.51,9.11,77.49,29.85,70.46,24.69,73.98,11916,205.92,71.33,35.49,18.63,34.76,4.11,77.49,6.40111E+11,1.70,37.6,0.64011,,28.8,221.7,0.39,0.04,0.96,0.55,0.86,0.0282,0.3508,0.5476,0.2492,0.6145,,,,,,,,,,,,,,,,,
Northern Bay of Bengal,Western Indo-Pacific,Bay of Bengal,108,102395,0,0,46779,46779,20.18,7.89,19.43,9.26,19.81,12.17,33.53,19.42,34.03,18.25,33.78,19008,172.43,49.37,145.55,95.04,20.18,7.89,33.53,1.56863E+12,8.07,19.4,1.56863,,28.8,221.7,0.43,0.04,0.96,0.54,0.87,0.0565,0.8525,1.3608,0.6675,1.5020,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,Western Indo-Pacific,Andaman,109,7776,138,0,3414,3553,33.59,6.18,39.62,17.72,36.60,18.77,59.24,40.83,48.09,21.00,53.66,9305,144.07,49.26,35.47,35.54,33.70,7.10,59.02,2.09679E+11,0.51,41.0,0.20968,,40.4,221.7,0.35,0.05,0.96,0.55,0.87,0.0108,0.1144,0.1827,0.0732,0.2008,,,,,,,,,,,,,,,,,
Andaman Sea Coral Coast,Western Indo-Pacific,Andaman,110,39636,0,0,18107,18107,13.60,2.38,13.02,3.65,13.31,4.36,12.19,7.85,12.72,7.88,12.46,3934,91.43,49.23,222.81,65.64,13.60,2.38,12.19,2.20711E+11,1.66,13.3,0.22071,,40.4,221.7,0.19,0.06,0.96,0.54,0.88,0.0121,0.1190,0.1932,0.0426,0.2120,,,,,,,,,,,,,,,,,
Western Sumatra,Western Indo-Pacific,Andaman,111,18158,0,0,8295,8295,33.18,5.80,39.65,17.85,36.41,18.77,75.60,41.80,64.07,20.95,69.83,10512,192.53,44.86,35.45,31.29,33.18,5.80,75.60,6.27093E+11,1.60,39.3,0.62709,,40.4,160.7,0.41,0.09,0.94,0.46,0.80,0.0583,0.2863,0.5045,0.2593,0.5863,,,,,,,,,,,,,,,,,
Gulf of Tonkin,Central Indo-Pacific,South China Sea,112,72089,11543,0,21391,32934,8.62,4.36,8.54,4.47,8.58,6.25,8.11,3.58,8.18,3.50,8.15,16375,112.03,57.67,531.34,266.31,8.61,5.11,8.12,2.67499E+11,3.69,7.2,0.26750,,28.8,83.1,0.21,0.03,0.50,0.14,0.67,0.0084,0.0365,0.1803,0.0570,0.1333,,,,,,,,,,,,,,,,,
